head,relation,tail,label
David_Lochary,successor,Parris_Glendening,0
Chicago_Concert,producer,Joe_Jackson_(musician),0
Chicago_Concert,artist,Joe_Jackson_(musician),0
FK_Sloboda_Tuzla,ground,Travnik,0
FK_Leotar,league,Premier_League_of_Bosnia_and_Herzegovina,0
Oberthueria_(moth),isPartOfMilitaryConflict,The_Holocaust,0
Dorothy_Hodgkin,birthPlace,Royal_Leamington_Spa,0
Hartmut_Schairer,award,German_Cross,0
Evergrey,associatedBand,Symfonia,0
Sentenced,associatedBand,Evergrey,0
Evergrey,associatedMusicalArtist,Symfonia,0
Sentenced,associatedMusicalArtist,Evergrey,0
David_Banner,associatedBand,Diamond_(rapper),0
David_Banner,associatedMusicalArtist,Diamond_(rapper),0
Bob_Packwood,successor,Daniel_Patrick_Moynihan,0
El_viaje_de_Copperpot,cinematography,Michael_Spiller,0
Cadillac_Series_355,manufacturer,General_Motors,0
Jeep_Comanche,layout,AWD_(vehicle),0
Buick_Invicta,vehicle,Opel_Vectra,0
GM_Theta_platform,vehicle,Saab_9-3,0
Margarita_Fischer,spouse,Patricia_Driscoll,0
Fritz_Arndt_(soldier),birthPlace,Toluca,0
63rd_Pennsylvania_Infantry,battle,Battle_of_Appomattox_Court_House,0
Dragonlord_(band),hometown,"Concord,_California",0
VerticalResponse,relative,Wednesday_Addams,0
Puppet_Master_(film_series),starring,Edward_Judd,0
"John_Brown_(footballer,_born_1962)",team,Clyde_F.C.,0
Ambrose_Burnside,team,Wrexham_F.C.,0
Doña_Juana_(film),team,Kirkintilloch_Rob_Roy_F.C.,0
"Hugh_Pigot_(Royal_Navy_officer,_born_1722)",birthPlace,Bristol,0
Citroën_Traction_Avant,assembly,Toluca,0
Hyundai_i30,assembly,Kaliningrad,0
Jesús_Padilla_Gálvez,influenced,Bertrand_Russell,0
Biggs_(TV_channel),constructionMaterial,Wrought_iron,0
Biggs_(TV_channel),constructionMaterial,Steel,0
Village_People,associatedBand,Mickey_Finn's_T-Rex,0
Village_People,associatedMusicalArtist,Mickey_Finn's_T-Rex,0
Deb_Talan,recordLabel,Twisted_Nerve_Records,0
Dead_Like_Me,subsidiary,Debmar-Mercury,0
Lost_City_of_the_Jungle,distributor,Alliance_Atlantis,0
Charles_Frank_Ltd,recordLabel,Osmose_Productions,0
Damned_in_Black,associatedMusicalArtist,Thou_Art_Lord,0
Miguel_D'Agostino,formerBandMember,Mike_Glita,0
Mike_Glita,formerBandMember,Senses_Fail,0
The_Wendy_Williams_Show,network,Lebanese_Broadcasting_Corporation_International,0
Mike_Park,associatedBand,Chiodos,0
Mike_Park,associatedMusicalArtist,Chiodos,0
Till_the_Clouds_Roll_By,routeJunction,"Overland_Park,_Kansas",0
Sonipat,routeJunction,U.S._Route_54,0
WNTM,routeJunction,"Eutaw,_Alabama",0
WNTM,routeStart,"Mobile,_Alabama",0
Interstate_75,routeJunction,"Selma,_North_Carolina",0
Five_Children_and_It_(film),location,"Halifax,_Nova_Scotia",0
FC_Septemvri_Sofia,influencedBy,Leconte_de_Lisle,0
Antonio_Soldevilla,influenced,Julian_Tuwim,0
Pallo-Kerho_37,primeMinister,Miguel_Trovoada,0
John_Impey,product,Speech_synthesis,0
John_Impey,product,Portable_Document_Format,0
Lewis_Williams_Douglas,birthPlace,"Tucson,_Arizona",0
Ben_Nighthorse_Campbell,almaMater,Colorado_College,0
Ben_Nighthorse_Campbell,successor,Michael_Bennet,0
Michael_Bennet,predecessor,Ben_Nighthorse_Campbell,0
Rendezvous_at_Big_Gulch_(Terror_in_the_Neighborhood),writer,Alan_Brennert,0
Ulrich_Kapolongo,guest,Robert_Costanzo,0
Nick_Robinson,employer,Channel_5_(UK),0
Dorothy_Squires,starring,Billy_Jayne,0
Cunter_(band),bandMember,Wade_MacNeil,0
Wade_MacNeil,associatedBand,Cunter_(band),0
Wade_MacNeil,associatedMusicalArtist,Cunter_(band),0
Pennsylvania's_23rd_congressional_district,restingPlace,"Bentonville,_Arkansas",0
"Lyon_Playfair,_1st_Baron_Playfair",successor,"William_Monsell,_1st_Baron_Emly",0
Captain_of_the_Guard_(film),producer,Stanley_Donen,0
Housesitter,starring,Walter_Matthau,0
The_Frighteners_(novel),literaryGenre,Thriller_(genre),0
7th_Heaven_(novel),publisher,Random_House,0
Fortune's_Favourites,subsequentWork,The_Bourne_Ultimatum,0
Bakery_Music,author,Fuyumi_Ono,0
Cetinje,developer,Atari_Games,0
San_Francisco_Rush_2049,publisher,Atari_Games,0
Logo_TV,successor,Vladimir_Semichastny,0
"Gainesville,_Texas",routeJunction,"Roanoke,_Virginia",0
The_Faith_Brown_Chat_Show,routeJunction,"Burkeville,_Virginia",0
The_Whole_Truth_(Lost),director,John_Landis,0
James_Knepper,district,Gravesham,0
John_Gregory_Bourke,occupation,Sheriff,0
Nagarro,regionServed,Luxembourg,0
Bo_Bruce,regionServed,Slovakia,0
In_the_Reins,subsequentWork,Feast_of_Wire,0
Welcome_to_the_Family_(song),bandMember,Clawfinger,0
Welcome_to_the_Family_(song),formerBandMember,Clawfinger,0
Live_in_Phoenix,recordedIn,"Tucson,_Arizona",0
Dean_Richards_(footballer),birthPlace,"Rothwell,_West_Yorkshire",0
Pride_and_Glory_(band),formerBandMember,Keri_Kelli,0
Robert_Marlow,associatedBand,The_Assembly,0
The_Assembly,associatedBand,Robert_Marlow,0
Robert_Marlow,associatedMusicalArtist,The_Assembly,0
The_Assembly,associatedMusicalArtist,Robert_Marlow,0
Kiss_You_Back,producer,George_Clinton_(musician),0
Jon_Trickett,hometown,Leeds,0
Masada_(band),associatedBand,Fantômas_(band),0
Masada_(band),associatedMusicalArtist,Fantômas_(band),0
Carangola,district,"Littleborough,_Greater_Manchester",0
Topolița_River,rightTributary,Moldova_River,0
Tele_(band),hometown,Hanover,0
Jim_Taylor_(writer),deathPlace,Washington_(state),0
Matt_Miller_(musician),associatedBand,Damnation_A.D.,0
Matt_Miller_(musician),associatedMusicalArtist,Damnation_A.D.,0
Yabancı_Damat,distributor,Sonet_Film,0
Battle_of_Peleliu,tenant,Iraklis_1908_Thessaloniki_F.C.,0
Stupid_Love_(song),producer,Hawk_Koch,0
List_of_Nightwish_band_members,hometown,Goirle,0
List_of_Nightwish_band_members,associatedBand,Nightwish,0
Nightwish,associatedBand,ReVamp,0
List_of_Nightwish_band_members,associatedMusicalArtist,Nightwish,0
Nightwish,associatedMusicalArtist,ReVamp,0
Fox_Filipino,sisterStation,Nat_Geo_Wild,0
Battle_of_Molino_del_Rey,birthPlace,"Glen_Cove,_New_York",0
Sonny_Meets_Hawk!,associatedBand,Herbie_Mann,0
Sonny_Meets_Hawk!,associatedMusicalArtist,Herbie_Mann,0
Desperadoes'_Outpost,riverMouth,Northwest_Branch_Anacostia_River,0
Lishán_Didán,city,"Cedar_City,_Utah",0
The_Trials_of_Oz,presenter,Gary_Lineker,0
A_Flintstones_Christmas_Carol,artist,Eels_(band),0
Brent_Liles,bandMember,"David_Hidalgo,_Jr.",0
"David_Hidalgo,_Jr.",formerBandMember,Frank_Agnew,0
"David_Hidalgo,_Jr.",formerBandMember,Brent_Liles,0
"David_Hidalgo,_Jr.",hometown,"Fullerton,_California",0
Scincinae,order,Gymnophiona,0
The_Claim,producer,Andy_Paterson,0
Kidnapped_(TV_series),editing,Trevor_Waite,0
Olaus_Henrici,notableStudent,Svante_Arrhenius,0
When_in_Rome_(2010_film),starring,Rebecca_Gayheart,0
Gordon_Downie,bandMember,Mike_Belitsky,0
The_Unintended,recordLabel,Outside_Music,0
Gordon_Downie,associatedBand,The_Unintended,0
Gordon_Downie,associatedMusicalArtist,The_Unintended,0
War_of_1812,type,Local_councils_of_Malta,0
Lupeni,leaderParty,Nationalist_Movement_Party,0
Albennie_Jones,recordLabel,Warlock_Records,0
Errol_Flynn,predecessor,Amédée_E._Forget,0
The_Shys,associatedBand,Steve_Gibbons_(musician),0
The_Shys,associatedMusicalArtist,Steve_Gibbons_(musician),0
Aleksandr_Prokopenko,birthPlace,Minsk,0
Savages_(2012_film),starring,Robert_Duvall,0
XEJ-TDT,formerBroadcastNetwork,TheCoolTV,0
Anzor_Chikhladze,cinematography,Jerzy_Zieliński,0
California_Democratic_Party,writer,James_Orr_(filmmaker),0
Dandenong_Rangers,isPartOf,Galmudug,0
Beyond_the_Pale_(band),genre,Contemporary_classical_music,0
"Central_Avenue_(Albuquerque,_New_Mexico)",leaderName,Flemish_Government,0
Hollywood_(Africa),producer,Tchad_Blake,0
Albert_Ernest_Kitson,almaMater,University_of_Adelaide,0
The_District,starring,Patrick_Swayze,0
Scott_Frank,knownFor,"Hello,_Dolly!_(film)",0
Bokaro_Steel_City,isPartOf,Bihar,0
Lahn,origin,Germany,0
Zeppelin-Staaken_R.V,wineRegion,Germany,0
From_the_Terrace,starring,Robert_Shaw_(British_actor),0
Donald_Kushner,author,Michael_Reaves,0
Teen_Wolf_(1986_TV_series),executiveProducer,Donald_Kushner,0
Conan_and_the_Young_Warriors,company,Atlantic_Entertainment_Group,0
Tension_at_Table_Rock,director,Guy_Green_(filmmaker),0
Stephen_J._Lippard,almaMater,College_of_the_Holy_Cross,0
J._Henry_Goguen,successor,Lee_Zeldin,0
Capture_of_Fricourt,location,"Shaker_Heights,_Ohio",0
A_Little_Kiss,notableWork,Daniel_Pinkwater,0
Honshu,part,Kwara,0
Syd_Arthur,creator,Paul_Feig,0
Paul_Feig,openingTheme,Bad_Reputation_(Joan_Jett_song),0
Secret_(Kumi_Koda_album),bandMember,Mark_Griffiths,0
Vivir_para_amar,starring,George_Segal,0
He_Long,team,FC_Dynamo_Kyiv,0
Tim_Rogers_(musician),formerBandMember,Tex_Perkins,0
Richard_Lowenstein,knownFor,John_Safran's_Music_Jamboree,0
Richard_Lowenstein,knownFor,John_Safran_vs_God,0
Wallenstein_(band),recordLabel,Edel_AG,0
Edward_Everett,successor,Isaac_C._Bates,0
Isaac_C._Bates,successor,Edward_Everett,0
Edward_Everett,predecessor,Isaac_C._Bates,0
Darrell_Roberts,genre,Horror_punk,0
Siege_of_Delhi,ethnicGroup,Japanese_people,0
Shamita_Shetty,residence,Mumbai,0
Chessgame,genre,Comics,0
Billy_Gilbert_(footballer),birthPlace,Notting_Hill,0
Samuel_Smith_(Upper_Canada_politician),almaMater,Marlborough_College,0
Park_Ji-yeon,hometown,South_Korea,0
Ebn_Ozn,genre,K-pop,0
Occupation_of_Japan,isPartOfMilitaryConflict,North_African_Campaign,0
Movie_Central,network,Das_Erste,0
Robotic_Empire,distributingLabel,RED_Distribution,0
Robotic_Empire,distributingCompany,RED_Distribution,0
Leif_Edling,associatedBand,Elf_(band),0
Leif_Edling,associatedMusicalArtist,Elf_(band),0
Cincinnati_Reds_minor_league_players,birthPlace,"Salem,_Oregon",0
Wild_Mood_Swings,successor,William_Barnard_Rhodes,0
Push_(2009_film),associate,William_Barnard_Rhodes,0
Nissin_Foods,owner,Nippon_TV,0
G.rev,owningCompany,Nippon_TV,0
Battle_of_Gettysburg,commander,John_Newton_(engineer),0
Dragunov_sniper_rifle,designer,Sukhoi,0
Reginald_Denny_(actor),regionServed,Louisiana,0
Presidencies_and_provinces_of_British_India,isPartOf,Khyber_Pakhtunkhwa,0
AgustaWestland_Apache,subsequentWork,Fasciinatiion,0
Hungry_Ghosts_(album),recordLabel,Alchemy_Records_(Japan),0
9X,location,Mumbai,0
Gita_Mehta,doctoralStudent,Carol_W._Greider,0
Bob_the_Builder,network,CBBC,0
William_Donald_Schaefer,lieutenant,Kathleen_Kennedy_Townsend,0
Yehoshua_Feigenbaum,nationality,Mandatory_Palestine,0
Yehoshua_Feigenbaum,nationality,Demographics_of_Jordan,0
Yehoshua_Feigenbaum,stateOfOrigin,Mandatory_Palestine,0
Yehoshua_Feigenbaum,stateOfOrigin,Demographics_of_Jordan,0
Nick_Bacon,successor,Hershel_W._Gober,0
Mean_Machine_(film),starring,Tessa_Wyatt,0
Man_About_the_House,starring,David_Kelly_(actor),0
Mean_Machine_(film),previousWork,Man_About_the_House,0
Trevor_Steel,order,Micromonosporaceae,0
Paolo_Zanetti,capital,San_Francisco_de_Macorís,0
"George_Hamilton-Gordon,_4th_Earl_of_Aberdeen",successor,"Granville_Leveson-Gower,_2nd_Earl_Granville",0
Beowulf_(2007_film),starring,Neve_Campbell,0
AXN,headquarter,Mumbai,0
Lil'_Flip,associatedBand,Lil'_Keke,0
Lil'_Keke,associatedMusicalArtist,Bun_B,0
Lil'_Flip,associatedMusicalArtist,Lil'_Keke,0
Daddy's_Girls_(2009_TV_series),executiveProducer,Joe_Davola_(TV_producer),0
Daddy's_Girls_(2009_TV_series),location,"Wilmington,_North_Carolina",0
Bình_Định_Province,almaMater,Religious_studies,0
It's_Love_Again,starring,Will_Hay,0
Home_at_Seven_(film),musicComposer,Bretton_Byrd,0
Take_On_the_Twisters,team,Racing_de_Santander,0
Markus_J._Buehler,team,Atlético_de_Kolkata,0
Moğollar,producer,Stevie_Ray_Vaughan,0
Pride_and_Joy_(Stevie_Ray_Vaughan_song),artist,Stevie_Ray_Vaughan,0
Peter_Carruthers_(philosopher),influenced,Daniel_Dennett,0
Taha_Hussein,influenced,Clifford_Geertz,0
Wet_from_Birth,manufacturer,AgustaWestland,0
Star_Wars:_The_Clone_Wars_(2008_TV_series),previousWork,Star_Wars:_Episode_II_–_Attack_of_the_Clones,0
Star_Wars:_Episode_II_–_Attack_of_the_Clones,subsequentWork,Star_Wars:_The_Clone_Wars_(2008_TV_series),0
Carles_Benavent,birthPlace,Algeciras,0
Arvika,isPartOf,Province_of_Tarragona,0
Rubén_da_Silva,deathPlace,Montevideo,0
Roman_Miroshnichenko,associatedBand,Black_Country_Communion,0
Roman_Miroshnichenko,associatedMusicalArtist,Black_Country_Communion,0
The_Groomsmen,broadcastArea,Washington_metropolitan_area,0
Kris_Radish,broadcastNetwork,Westwood_One_News,0
Georg_Stanford_Brown,director,Steven_Brill_(scriptwriter),0
Martin_Rushent,team,D.C._United,0
Soulcalibur_II,team,Franklin_Pierce_University,0
September_Affair,starring,Robert_Young_(actor),0
Russian_Australians,related,Ukrainians_in_the_United_Kingdom,0
Ukrainians_in_the_United_Kingdom,related,Ukrainian_Australians,0
John_Westlake,headquarter,Colombo,0
Queen_of_Swords_(TV_series),director,Mick_Thomas,0
I_Get_Money,artist,Gwen_Stefani,0
Croatian_Americans,birthPlace,"Bedford_(town),_New_York",0
Sky_plc,owningCompany,Living_TV_Group,0
Maurice_Barrymore,team,Long_Island_Rough_Riders,0
Vakkantham_Vamsi,managerClub,Baltimore_Bohemians,0
Värmland_County,isPartOf,Dalarna,0
Revelation_(band),distributingCompany,All_That_Is_Heavy,0
Men_Without_Women_(album),associatedBand,Junior_Parker,0
Men_Without_Women_(album),associatedMusicalArtist,Junior_Parker,0
The_Ant_Bully_(video_game),starring,Drew_Barrymore,0
The_Ant_Bully_(video_game),producer,John_A._Davis,0
Best_Before_Records,state,British_Columbia,0
Vikram_Sarabhai,award,Adams_Prize,0
The_BQE_(soundtrack),previousWork,Tin_Planet,0
Ulver,recordLabel,679_Artists,0
Davy_DMX,associatedBand,MSTRKRFT,0
Davy_DMX,associatedMusicalArtist,MSTRKRFT,0
Ajit_Khan,deathPlace,Hyderabad_State,0
The_Big_Gamble_(1961_film),writer,David_Duncan_(writer),0
Nancy_Drew..._Reporter,starring,Stephen_Boyd,0
"Oreland,_Pennsylvania",deathPlace,"Springfield,_Vermont",0
Casper_(film),starring,Amanda_Peet,0
Orbost,routeJunction,CityLink,0
Orbost,routeJunction,Princes_Highway,0
Pooyan,computingPlatform,Atari_5200,0
Pride_and_Glory_(band),associatedBand,Fu_Manchu_(band),0
Pride_and_Glory_(band),associatedMusicalArtist,Fu_Manchu_(band),0
Weird_Science_(film),starring,John_Travolta,0
Thanksgiving_(band),associatedMusicalArtist,Zavalaz,0
GM_Epsilon_platform,vehicle,Pontiac_Torrent,0
Chester_Carlson,field,Biologist,0
Kiki's_Delivery_Service,predecessor,General_Motors,0
Beauty_Shop,starring,Chris_Evans_(actor),0
Richard_Crossman,service,Investment,0
Cucurbitaceae,family,Malvaceae,0
Frankie_Chan,type,Biscuit,0
Oh_My_God_(Guns_N'_Roses_song),bandMember,Virgin_Steele,0
Spandau,parentCompany,Holtzbrinck_Publishing_Group,0
Battle_of_Plattsburgh,place,Baltimore,0
Paweł_Kaczorowski,team,Brown_Bears,0
Sitmar_Cruises,regionServed,Africa,0
EFACEC,regionServed,Central_America,0
Viz_Media_Europe,regionServed,South_America,0
George_Westinghouse,spouse,Lauren_Faust,0
William_J._McConnell,part,Gmina_Wielopole_Skrzyńskie,0
Marlow_Branch_Line,industry,Gambling,0
Thuppakki,mainInterest,Action_theory_(philosophy),0
Southern_Association_of_Colleges_and_Schools,team,Stabæk_Fotball,0
Didier_Notheaux,managerClub,Stabæk_Fotball,0
Transilience_Thought_Unifier_Model-11,neighboringMunicipality,Maschwanden,0
Unguarded_(Amy_Grant_album),previousWork,In_Concert_Volume_Two_(Amy_Grant_album),0
Battle_of_Peleliu,place,South_Korea,0
Minsara_Kanavu,director,Mani_Ratnam,0
Roja,producer,Mani_Ratnam,0
Guru_(2007_film),writer,Mani_Ratnam,0
Naaraaz_(1994_film),musicComposer,A._R._Rahman,0
TVR_Tuscan_Challenge,relatedMeanOfTransportation,Citroën_LNA,0
Pizzicato_Five,hometown,Setagaya,0
Tim_Kruse,associatedBand,Pizzicato_Five,0
K._C._Porter,associatedMusicalArtist,Pizzicato_Five,0
Sankh_River,subsequentWork,Spot_the_Pigeon,0
Lloyd_Banks,associatedBand,Twiztid,0
Lloyd_Banks,associatedMusicalArtist,Twiztid,0
György_Márkus,birthPlace,Miskolc,0
Attila_Kuttor,birthPlace,Kingdom_of_Hungary_(1920–46),0
Logo_TV,predecessor,MTV_Hits,0
MTV_Hits,successor,Logo_TV,0
The_Ringer_(1952_film),associatedBand,One_in_a_Million_(band),0
The_Ringer_(1952_film),associatedMusicalArtist,One_in_a_Million_(band),0
Battle_of_Gettysburg,place,"Dinwiddie_County,_Virginia",0
The_Fall_of_Italy,award,In_the_Heat_of_the_Sun,0
Bob_Fosse,executiveProducer,Daniel_Melnick,0
Walter_Alberto_López,birthPlace,Livno,0
Preggers,previousWork,Peter_Gabriel_(1980_album),0
PPSh-41,usedInWar,Laotian_Civil_War,0
Dragunov_sniper_rifle,usedInWar,Cambodian_Civil_War,0
University_of_Hong_Kong,city,Tilburg,0
Fair_(band),hometown,"Olympia,_Washington",0
Gullane_Entertainment,product,Captain_Scarlet_and_the_Mysterons,0
Iranian_intervention_in_Iraq_(2014–present),president,Liu_Shaoqi,0
Iranian_intervention_in_Iraq_(2014–present),predecessor,Liu_Shaoqi,0
Love_Is_Dangerous,artist,Fleetwood_Mac,0
Sin_Senos_no_Hay_Paraíso,spouse,Madeleine_Renaud,0
Marty_Ehrlich,order,Scolecophidia,0
Georges_Valmier,deathPlace,Angoulême,0
"ITunes_Live:_SXSW_(Live_in_Austin,_TX/2011)",subsequentWork,Misfits_(Sara_Hickman_album),0
Not_till_Tomorrow,previousWork,Necessary_Angels,0
Viva_Death,bandMember,Face_to_Face_(punk_band),0
Viva_Death,formerBandMember,Face_to_Face_(punk_band),0
Viva_Death,associatedBand,Me_First_and_the_Gimme_Gimmes,0
Me_First_and_the_Gimme_Gimmes,associatedBand,Viva_Death,0
Viva_Death,associatedMusicalArtist,Me_First_and_the_Gimme_Gimmes,0
Me_First_and_the_Gimme_Gimmes,associatedMusicalArtist,Viva_Death,0
Zacky_Vengeance,deathPlace,"Olympia,_Washington",0
Daniel_Akaka,successor,Hugh_Mitchell_(politician),0
Hugh_Mitchell_(politician),lieutenant,Victor_Aloysius_Meyers,0
Gordon_Downie,hometown,"Halifax,_Nova_Scotia",0
Sturm_und_Drang_(band),associatedBand,Sentenced,0
BBC_Earth_(TV_channel),birthPlace,"Sandusky,_Ohio",0
Hallway_Productionz,frazioni,Teramo,0
Ilie_Dumitrescu,team,Akratitos_F.C.,0
Münchener_Freiheit,bandMember,Necrophagist,0
FC_Girondins_de_Bordeaux,coach,Gernot_Rohr,0
The_Big_Gamble_(1961_film),isPartOf,Duarte_Province,0
Aerodynamics,lieutenancyArea,Kirkcudbrightshire,0
Kosta_Rodrigues,openingTheme,"Yo_soy_Betty,_la_fea",0
Văn_Tiến_Dũng,executiveProducer,"Yo_soy_Betty,_la_fea",0
Sportivo_Italiano,person,"Yo_soy_Betty,_la_fea",0
Night_of_the_Living_Baseheads,artist,Public_Enemy_(music_group),0
Da_Internz,recordLabel,Warner/Chappell_Music,0
Joe_Meek_(footballer),hometown,Newcastle_upon_Tyne,0
Iurie_Miterev,producer,Martin_Hannett,0
Bentley_S3,predecessor,Rolls-Royce_Silver_Dawn,0
Kurt_Albrecht_(Artillery_officer),battle,Siege_of_Sevastopol_(1941–42),0
Pawan_Kalyan,birthPlace,Phnom_Penh,0
The_Boy_Who_Knew_Too_Much_(album),producer,Peter_Wade_Keusch,0
Mark_Wilson_(English_footballer),ground,"Sarandí,_Buenos_Aires",0
List_of_members_of_the_Clash,associatedBand,Joe_Strummer,0
List_of_members_of_the_Clash,associatedMusicalArtist,Joe_Strummer,0
Damien_Markman,sisterStation,MTV_Classic_(Australia_and_New_Zealand),0
Adam_Buxton,birthPlace,Cheam,0
Stuyvesant_High_School,city,"Allentown,_Pennsylvania",0
"Saga,_Saga",city,"Mount_Barker,_South_Australia",0
"Saga,_Saga",routeJunction,Onkaparinga_Valley_Road,0
Mikhail_Kozakov,residence,Soviet_Union,0
Howdy!_(Teenage_Fanclub_album),subsequentWork,He_Knows_You_Know,0
Curve_Digital,product,Sheet_music,0
Prasarana_Malaysia,foundationPlace,Kuala_Lumpur,0
Lalit_Kala_Akademi,locationCity,Kuala_Lumpur,0
The_Village_Sessions,subsequentWork,Steady_Diet_of_Nothing,0
Radiator_(album),producer,Super_Furry_Animals,0
Hometown_Unicorn,artist,Super_Furry_Animals,0
Colour_My_World_(Chicago_song),producer,Chicago_(band),0
Colour_My_World_(Chicago_song),artist,Chicago_(band),0
Mahan_(horse),award,American_Champion_Male_Turf_Horse,0
Sex_Is_Not_the_Enemy,team,Saint_Francis_High_School_(Mountain_View),0
Roman_Catholic_Diocese_of_Gaylord,team,SC_Sagamihara,0
Korpiklaani,birthPlace,"Navarro_County,_Texas",0
Can't_Buy_Me_Love,subsequentWork,"Hello,_Goodbye",0
Kidnapped_(TV_series),location,Circuit_Bremgarten,0
"Gaston_County,_North_Carolina",birthPlace,"Oreland,_Pennsylvania",0
1968_New_Zealand_Grand_Prix,secondDriver,Chris_Amon,0
David_Jassy,thirdDriver,Chris_Amon,0
Talunan,poleDriver,Mario_Andretti,0
Yugandhar_(1993_film),location,Autódromo_Hermanos_Rodríguez,0
Generalitat_de_Catalunya,thirdTeam,Shadow_Racing_Cars,0
Daffy_Duck_and_Porky_Pig_Meet_the_Groovie_Goolies,fastestDriverTeam,Tyrrell_Racing,0
Daffy_Duck_and_Porky_Pig_Meet_the_Groovie_Goolies,firstDriverTeam,Tyrrell_Racing,0
Hanson_(band),secondTeam,Tyrrell_Racing,0
1968_United_States_Grand_Prix,firstDriver,Mario_Andretti,0
1971_World_Championship_Victory_Race,secondDriver,Jody_Scheckter,0
Gourits_River,secondDriverCountry,South_Africa,0
Gatsby_(sandwich),thirdTeam,Tyrrell_Racing,0
Space_(Latin_American_TV_channel),country,South_Africa,0
"Roanoke,_Virginia",thirdDriver,Mario_Andretti,0
1989_Belgian_Grand_Prix,poleDriver,Alain_Prost,0
1993_Hungarian_Grand_Prix,firstDriver,Alain_Prost,0
2001_German_Grand_Prix,location,Hockenheimring,0
1972_German_Grand_Prix,location,Hockenheim,0
1993_Hungarian_Grand_Prix,secondDriver,Alain_Prost,0
1984_Dutch_Grand_Prix,fastestDriver,Alain_Prost,0
1989_Belgian_Grand_Prix,location,Circuit_Paul_Ricard,0
2010_German_Grand_Prix,thirdDriver,Jacques_Villeneuve,0
1987_Detroit_Grand_Prix,fastestDriver,Jacques_Villeneuve,0
1987_Detroit_Grand_Prix,secondDriver,Jacques_Villeneuve,0
1998_Luxembourg_Grand_Prix,firstDriverCountry,Germany,0
Punjab_Legislative_Assembly,politicalPartyInLegislature,Portuguese_Communist_Party,0
Waterloo_to_Reading_Line,location,Buckinghamshire,0
1998_Luxembourg_Grand_Prix,poleDriverCountry,Germany,0
Rade_Prica,recordedIn,Polar_Studios,0
Armin_Weiss,almaMater,University_of_Kiel,0
Tata_Safari_Storme,assembly,Montevideo,0
Mindless_Self_Indulgence,associatedBand,The_Dangerous_Crew,0
Mindless_Self_Indulgence,associatedMusicalArtist,The_Dangerous_Crew,0
UP_Langreo,guest,David_Brian,0
Villar_del_Arzobispo,almaMater,University_of_Lausanne,0
Raymond_Simon,predecessor,Margaret_Hamburg,0
Juliana_Hatfield,recordLabel,Slap-a-Ham_Records,0
"Togo_D._West,_Jr.",team,Fort_Lauderdale_Strikers,0
A.C._Cuneo_1905,managerClub,Miami_United_F.C.,0
S.S.D._Monza_1912,ground,Piacenza,0
S.S.D._Monza_1912,season,2013–14_Serie_D,0
"Iruma,_Saitama",formerBandMember,Miki_Fujimoto,0
Country_Musume,hometown,Honshu,0
Alemannia_Aachen,manager,Dieter_Hecking,0
Hong_Deok-young,birthPlace,South_Korea,0
Billy_Thorpe,associatedBand,Tina_Turner,0
Billy_Thorpe,associatedMusicalArtist,Tina_Turner,0
ACF_Fiorentina,season,2014–15_Serie_B,0
Desjardins_Group,location,Zürich,0
Desjardins_Group,keyPerson,Gottlieb_Duttweiler,0
Hinckley_and_Bosworth,product,On2_Technologies,0
University_of_Southern_California,parentCompany,Mitsubishi_UFJ_Financial_Group,0
Paul_Serruys,birthPlace,Leuven,0
We_Must_Obey,producer,Juliana_Hatfield,0
We_Must_Obey,artist,Juliana_Hatfield,0
David_Reyne,formerBandMember,Simon_Binks,0
Simon_Binks,formerBandMember,David_Reyne,0
Hong_Deok-young,nationality,South_Korea,0
Heo_Kyung-hwan,stateOfOrigin,South_Korea,0
North_Wing_Design,birthPlace,"Littleton,_Massachusetts",0
Steven_Palazzo,battle,New_Zealand_Wars,0
AJ+,author,Al_Jazeera_English,0
Persis_Khambatta,child,Mahaakshay_Chakraborty,0
Babooshka_(song),previousWork,Never_for_Ever,0
Babooshka_(song),subsequentWork,The_Dreaming_(album),0
R._B._Walden,almaMater,Valparaiso_University,0
Shadow_Racing_Cars,predecessor,Alexander_Shelepin,0
Martha_Coakley,governor,Jane_Swift,0
Pontiac_G8,relatedMeanOfTransportation,Jeep_Cherokee_(XJ),0
Richard_Lowenstein,author,John_Safran,0
John_Safran_vs_God,director,Lynn-Maree_Milburn,0
Richard_Lowenstein,presenter,John_Safran,0
John_Safran,executiveProducer,Richard_Lowenstein,0
John_Safran,producer,Richard_Lowenstein,0
John_Safran,subsequentWork,John_Safran_vs_God,0
Anything_Is_Possible_(Debbie_Gibson_song),writer,Holland–Dozier–Holland,0
Welcome_2_the_Party_(Ode_2_the_Old_School),producer,Lamont_Dozier,0
Baby_Love,previousWork,Come_See_About_Me,0
Smooth_Sailin'_(Sonny_Throckmorton_song),previousWork,Repeater_(album),0
Ken_Mayes,musicComposer,Billy_Corgan,0
Save_the_Day,birthPlace,"Baytown,_Texas",0
Evolution_(Journey_album),producer,Kevin_Shirley,0
Fernando_de_Santiago_y_Díaz,profession,Prosecutor,0
Martin_Callanan,spokenIn,Finland,0
Eddie_Money,associatedBand,The_Ronettes,0
The_Ronettes,associatedBand,Eddie_Money,0
Eddie_Money,associatedMusicalArtist,The_Ronettes,0
The_Ronettes,associatedMusicalArtist,Eddie_Money,0
Stop!_In_the_Name_of_Love,subsequentWork,Come_See_About_Me,0
